time,CH1
4.9,0.0106201
4.904,0.010376
4.908,0.0100098
4.912,0.00878906
4.916,0.00836182
4.92,0.00830078
4.924,0.00982666
4.928,0.0119019
4.932,0.0132446
4.936,0.0134277
4.94,0.0128174
4.944,0.0126343
4.948,0.0140381
4.952,0.0172119
4.956,0.0220947
4.96,0.0285034
4.964,0.0341797
4.968,0.0396118
4.972,0.0454712
4.976,0.0522461
4.98,0.0593872
4.984,0.0656738
4.988,0.0698853
4.992,0.0707397
4.996,0.0696411
5,0.0674438
5.004,0.0641479
5.008,0.0613403
5.012,0.0576782
5.016,0.0532837
5.02,0.0479736
5.024,0.0406494
5.028,0.0314331
5.032,0.0199585
5.036,0.00805664
5.04,-0.00012207
5.044,-0.00305176
5.048,-0.00128174
5.052,0.00299072
5.056,0.00640869
5.06,0.00738525
5.064,0.00567627
5.068,0.00317383
5.072,0.000427246
5.076,-0.000793457
5.08,-0.00134277
5.084,-0.000305176
5.088,0.00140381
5.092,0.00402832
5.096,0.00671387
5.1,0.00811768
5.104,0.00640869
5.108,0.00164795
5.112,-0.00152588
5.116,0.00390625
5.12,0.027832
5.124,0.078125
5.128,0.154358
5.132,0.251831
5.136,0.361633
5.14,0.468201
5.144,0.541931
5.148,0.549622
5.152,0.475525
5.156,0.329224
5.16,0.158997
5.164,0.0158691
5.168,-0.0679321
5.172,-0.0881958
5.176,-0.0664673
5.18,-0.0289307
5.184,0.00598145
5.188,0.0281372
5.192,0.0368652
5.196,0.0355225
5.2,0.02948
5.204,0.0241089
5.208,0.0220337
5.212,0.0238647
5.216,0.0279541
5.22,0.0324097
5.224,0.036377
5.228,0.038147
5.232,0.0369873
5.236,0.0350342
5.24,0.0335693
5.244,0.0338745
5.248,0.0361328
5.252,0.0397339
5.256,0.0426025
5.26,0.0444336
5.264,0.0448608
5.268,0.045166
5.272,0.0460815
5.276,0.0489502
5.28,0.0521851
5.284,0.0545044
5.288,0.0558472
5.292,0.0565796
5.296,0.0585938
5.3,0.0606079
5.304,0.0618896
5.308,0.0628662
5.312,0.0647583
5.316,0.0678711
5.32,0.072937
5.324,0.0791016
5.328,0.0838623
5.332,0.0872192
5.336,0.0895386
5.34,0.0921021
5.344,0.0959473
5.348,0.102173
5.352,0.109436
5.356,0.116882
5.36,0.124146
5.364,0.131409
5.368,0.138794
5.372,0.145752
5.376,0.153625
5.38,0.162964
5.384,0.172852
5.388,0.183655
5.392,0.194885
5.396,0.2052
5.4,0.214478
5.404,0.222717
5.408,0.229858
5.412,0.23645
5.416,0.240601
5.42,0.241882
5.424,0.240967
